"Number","Title","Year","Runtime","Genre","Ratings","Director","Total.Vote","Rated","Stars.1","Stars.2","Stars.3"
"21","Gundala",2019,123,"Action",6.2,"Joko Anwar",4624,"13+","Abimana Aryasatya","Tara Basro","Bront Palarae"
"24","Foxtrot Six",2019,114,"Action",5.6,"Randy Korompis",1269,"21+","Oka Antara","Verdi Solaiman","Chicco Jerikho"
"25","Sebelum Iblis Menjemput: Ayat Dua",2020,110,"Fantasy",6,"Timo Tjahjanto",889,"17+","Chelsea Islan","Widika Sidmore","Baskara Mahendra"
"26","Makmum",2019,95,"Horror",5,"Hadrah Daeng Ratu",219,"17+","Titi Kamal","Ali Syakieb","Tissa Biani Azzahra"
"28","Seperti Dendam Rindu Harus Dibayar Tuntas",2021,114,"Action",7.3,"Edwin",318,"D17+","Marthino Lio","Ladya Cheryl","Reza Rahadian"
"29","Lady Dragon",1992,97,"Action",5.2,"David Worth",561,"R","Cynthia Rothrock","Richard Norton","Robert Ginty"
"30","Ali & the Queens",2021,100,"Comedy",7.1,"Lucky Kuswandi",1095,"13+","Iqbaal Dhiafakhri Ramadhan","Aurora Ribero","Nirina Zubir"
"31","A Perfect Fit",2021,112,"Comedy",5.3,"Hadrah Daeng Ratu",515,"13+","Nadya Arina","Refal Hady","Giorgino Abraham"
"32","Macabre",2009,95,"Drama",6.5,"Kimo Stamboel",3244,"D","Timo Tjahjanto","Shareefa Daanish","Julie Estelle"
"33","Killers",2014,137,"Action",6.4,"Kimo Stamboel",4997,"13+","Timo Tjahjanto","Kazuki Kitamura","Oka Antara"
"34","Valentine",2017,105,"Action",4.7,"Agus Hermansyah Mawardy",814,"13+","Ubay Fox","Agus Pestol","Estelle Linden"
"35","Pintu Terlarang",2009,115,"Horror",6.8,"Joko Anwar",2063,"R13+","Fachry Albar","Marsha Timothy","Ario Bayu"
"36","Teka Teki Tika",2021,83,"Comedy",5.6,"Ernest Prakasa",106,"R13+","Sheila Dara Aisha","Dion Wiyoko","Morgan Oey"
"38","A World Without",2021,107,"Drama",3.7,"Nia Di Nata",289,"16+","Amanda Rawles","Maizura","Asmara Abigail"
"39","Pengabdi Setan",1982,96,"Horror",5.6,"Sisworo Gautama Putra",572,"17+","Ruth Pelupessi","W.D. Mochtar","Fachrul Rozy"
"40","27 Steps of May",2018,112,"Drama",8.1,"Ravi L. Bharwani",437,"17+","Raihaanun Soeriaatmadja","Lukman Sardi","Ario Bayu"
"41","Something in the Way",2013,89,"Drama",7.5,"Teddy Soeriaatmadja",665,"17+","Reza Rahadian","Ratu Felisha","Verdi Solaiman"
"42","June & Kopi",2021,90,"Comedy",6.3,"Noviandra Santosa",491,"SU","Acha Septriasa","Ryan Delon","Makayla Rose Hilli"
"43","Dead Mine",2012,87,"Action",4.5,"Steven Sheil",3066,"13+","Miki Mizuno","Sam Hazeldine","Ario Bayu"
"44","Posesif",2017,102,"Drama",7.4,"Edwin",911,"13+","Putri Marino","Adipati Dolken","Gritte Agatha"
"45","Anak Muda Palsu",2019,103,"Comedy",9.2,"Ihdar Nur",49,"13+","Tumming","Abu","Reo Ramadhan"
"46","Losmen Bu Broto",2021,109,"Drama",8.2,"Eddie Cahyono",91,"13+","Ifa Isfansyah","Maudy Koesnaedi","Mathias Muchus"
"47","Kafir: Bersekutu dengan Setan",2018,97,"Drama",6.8,"Azhar Kinoi Lubis",557,"17+","Putri Ayudya","Sujiwo Tejo","Indah Permatasari"
"49","Perawan-perawan",1981,107,"Drama",7.1,"Ida Farida",1482,"13+","A.N. Alcaff","Meriam Bellina","Paulina Djakman"
"50","Wiro Sableng 212",2018,123,"Action",7.1,"Angga Dwimas Sasongko",1482,"13+","Vino G. Bastian","Yayan Ruhian","Fariz Alfarazi"
"51","Yowis Ben 2",2019,109,"Comedy",7.1,"Fajar Nugros",302,"13+","Bayu Skak","Bayu Skak","Joshua Suherman"
"54","Rudy Habibie: Habibie & Ainun 2",2016,124,"Biography",7.6,"Hanung Bramantyo",803,"13+","Reza Rahadian","Chelsea Islan","Ernest Prakasa"
"55","Susah Sinyal",2017,110,"Comedy",7.1,"Ernest Prakasa",966,"13+","Adinia Wirasti","Ernest Prakasa","Aurora Ribero"
"56","5 cm",2012,125,"Adventure",7.2,"Rizal Mantovani",2033,"13+","Herjunot Ali","Raline Shah","Fedi Nuril"
"57","Sultan Agung: Tahta, Perjuangan, Cinta",2018,148,"Action",7.2,"Hanung Bramantyo",187,"13+","X. Jo","Ario Bayu","Marthino Lio"
"58","Night Bus",2017,139,"Crime",7,"Emil Heradi",170,"17+","T. Rifnu Wikana","Yayu A.W. Unru","Edward Akbar"
"59","Java Heat",2013,104,"Action",5.1,"Conor Allyn",4806,"R","Kellan Lutz","Verdi Solaiman","Mickey Rourke"
"60","Danur: I Can See Ghosts",2017,74,"Horror",5.4,"Awi Suryadi",805,"13+","Prilly Latuconsina","Sandrinna Michelle","Shareefa Daanish"
"61","Devil on Top",2021,104,"Comedy",6,"Anggy Umbara",162,"13+","Angga Yunanda","Cinta Laura Kiehl","Joshua Suherman"
"62","Twivortiare",2019,103,"Drama",6.2,"Benni Setiawan",246,"17+","Reza Rahadian","Raihaanun Soeriaatmadja","Arifin Putra"
"63","After Met You",2019,107,"Drama",7.5,"Patrick Effendy",97,"13+","Thaleb Wahjudi","Ari Irham","Yoriko Angeline"
"64","Story of Kale: When Someone's in Love",2020,77,"Drama",6.4,"Angga Dwimas Sasongko",257,"17+","Ardhito Pramono","Aurélie Moeremans","Arya Saloka"
"65","Bus Om Bebek",2021,104,"Comedy",6.1,"Aditya Gumay",188,"SU","Ouzan Ruz","Azis Gagap","Zara Leola"
"66","Asih 2",2020,104,"Horror",6.1,"Rizal Mantovani",188,"17+","Shareefa Daanish","Marsha Timothy","Ario Bayu"
"67","Backstage",2021,115,"Drama",8.2,"Guntur Soeharjanto",31,"R13+","Vanesha Prescilla","Sissy Priscillia","Karina Suwandhi"
"70","Terlalu Tampan",2019,106,"Comedy",6.8,"Sabrina Rochelle Kalangie",495,"13+","Ari Irham","Nikita Willy","Rachel Amanda"
"71","Comic 8: Casino Kings Part 1",2015,104,"Action",6.4,"Anggy Umbara",372,"13+","Hannah Al Rashid","Donny Alamsyah","Dhea Ananda"
"72","The Sinking of Van Der Wijck",2013,164,"Drama",7.6,"Sunil Soraya",1235,"13+","Herjunot Ali","Pevita Pearce","Reza Rahadian"
"74","Ghost Writer",2019,97,"Comedy",6.8,"Bene Dion Rajagukguk",379,"13+","Tatjana Saphira","Ge Pamungkas","Deva Mahenra"
"76","Nussa: The Movie",2021,107,"Animation",8.9,"Bony Wirasmono",437,"SU","Muzakki Ramdhan","Aysha Razaana Ocean Fajar","Fenita Arie"
"77","Hit & Run",2019,114,"Action",6.5,"Ody C. Harahap",267,"17+","Joe Taslim","Chandra Liow","Tatjana Saphira"
"78","Kukira Kau Rumah",2021,90,"Drama",7.6,"Umay Shahab",502,"R13+","Prilly Latuconsina","Jourdy Pranata","Shenina Cinnamon"
"79","Kartini",2017,122,"Biography",7.6,"Hanung Bramantyo",502,"SU","Dian Sastrowardoyo","Reza Rahadian","Adinia Wirasti"
"80","Comic 8",2014,106,"Action",6.9,"Anggy Umbara",936,"17+","Gaizka Nazaryo","Ernest Prakasa","Kemal Palevi"
"81","Keramat",2009,80,"Horror",6.9,"Monty Tiwa",375,"D","Poppy Sovia","Migi Parahita","Sadha Triyudha"
"82","Mata Batin",2017,107,"Drama",5.2,"Rocky Soraya",1347,"17+","Jessica Mila","Denny Sumargo","Citra Prima"
"83","Bumi Manusia",2019,181,"Drama",6.7,"Hanung Bramantyo",695,"17+","Iqbaal Dhiafakhri Ramadhan","Mawar Eva de Jongh","Sha Ine Febriyanti"
"85","Tali mati",2021,103,"Horror",6.3,"Cornelio Sunny",55,"13+","Djenar Maesa Ayu","Morgan Oey","Widika Sidmore"
"86","Silariang the Movie",2017,95,"Drama",8.1,"Wisnu Adi",40,"13+","Nurlela M. Ipa","Dewi Irawan","Bisma Karisma"
"88","Gairah Malam 2",1995,73,"Drama",5.6,"Steady Rimba",16,"13+","Malfin Shayna","Taffana Dewi","Chairil J.M."
"89","Yowis Ben 3",2021,113,"Comedy",8.6,"Fajar Nugros",88,"13+","Bayu Skak","Bayu Skak","Joshua Suherman"
"90","Suzzanna: Bernapas dalam Kubur",2018,125,"Comedy",5.5,"Rocky Soraya",885,"17+","Anggy Umbara","Luna Maya","Herjunot Ali"
